"","GSM39440","GSM39441","GSM39442","GSM39443","GSM39444","GSM39445","GSM39446","GSM39447","GSM39448","GSM39449","GSM39450","GSM39451","GSM39452","GSM39453","GSM39454","GSM39455","GSM39456","GSM39457","GSM39458","GSM39504","GSM39505","GSM39506","GSM39508","GSM39509","GSM39510","GSM39511","GSM39512","GSM39513","GSM39514","GSM39515","GSM39516","GSM39517","GSM39518","GSM39519","GSM39520","GSM39521","GSM39522","GSM39523","GSM39524","GSM39525","GSM39526","GSM39527","GSM39528","GSM39529","GSM39530","GSM39531","GSM39532","GSM39533","GSM39534","GSM39535","GSM39536","GSM39537","GSM39538","GSM39539","GSM39540","GSM39541","GSM39542","GSM39543","GSM39544","GSM39545","GSM39546"
"ada-2",0.101308457777778,0.407402187777778,0.567185105555556,0.606289954444444,0.48676196,0.428405087777778,0.238559438888889,0.446152453333333,0.717095661111111,0.272712253333333,0.558944467777778,0.4695126,0.646396712222222,0.496224446666667,0.601100907777778,0.304083076666667,0.545249342222222,0.560805086666667,0.751463152222222,0.338793925555556,0.400847246666667,0.152287365555556,0.25485661,0.259462597777778,0.399726043333333,0.694461504444444,0.455738238888889,0.505254862222222,0.280900685555556,0.441912996666667,0.509007474444444,0.670836752222222,0.704533136666667,0.642450054444444,0.878692682222222,0.38491998,0.406508657777778,0.543327313333333,0.530814533333333,0.821949455555556,0.724881374444444,0.497755674444444,0.275156454444444,0.473693978888889,0.60890651,0.194187272222222,0.542504047777778,0.744521171111111,0.509610518888889,0.85784951,0.823584391111111,1.00047996111111,0.587074165555556,0.36038932,0.33918536,0.502817803333333,0.822916537777778,0.570396836666667,0.49896802,0.672949325555556,0.649709952222222
"alr-1",-0.146348781111111,0.08214496,0.605130886666667,0.313486486666667,0.470324662222222,0.114938453333333,0.0864286722222222,0.124517278888889,0.621709577777778,0.267629927777778,0.477612862222222,-0.0304653455555556,0.369276682222222,0.659505774444444,0.536055176666667,0.104007761111111,0.567158268888889,0.564293463333333,0.576786194444444,0.0150837388888889,0.0193376411111111,-0.0207382966666667,0.05077664,0.0967001177777778,0.591222867777778,0.764946162222222,0.60973503,-0.03595137,-0.09081345,-0.03435618,0.0691562366666667,0.138628255555556,0.0288253044444444,0.154146156666667,0.497475732222222,0.0890126911111111,0.0395850244444444,0.0269993333333333,0.198667171111111,0.0645702277777778,-0.00968911777777778,0.441465991111111,0.194072273333333,0.35080644,0.153725218888889,-0.00721849333333333,0.662958875555556,0.707762556666667,0.776949076666667,0.628352165555556,1.13423583555556,1.30568349555556,1.07155467,0.274130681111111,0.24303112,0.321675001111111,0.245882545555556,0.143548205555556,0.434958258888889,0.646689021111111,0.714139674444444
"atf-5",0.150213613333333,0.133077434444444,0.00234096666666666,0.0540692511111111,0.0211468022222222,0.0664559866666667,-0.00648366555555556,0.04681405,0.177966028888889,0.41089563,1.04596560666667,0.06763029,0.0110945766666667,0.124381231111111,1.05973258777778,0.0747839477777778,0.0595048311111111,1.09804843222222,0.79052519,-0.0181808888888889,0.0733975022222222,-0.0259847355555556,0.107975708888889,0.0424180255555556,-0.00851169888888889,0.213877238888889,0.366431202222222,-0.0251003877777778,0.0437479722222222,0.0117633033333333,0.0458938277777778,0.132745983333333,0.0425140144444444,0.0961507322222222,0.110612025555556,-0.0300471255555556,0.322818116666667,0.303794445555556,0.198785963333333,0.203758653333333,0.07616741,0.435081401111111,0.408079512222222,0.363690137777778,0.203315152222222,0.300801218888889,0.389067747777778,0.443954987777778,0.49345706,0.682726426666667,0.626856318888889,0.739902881111111,0.635533752222222,0.347345605555556,0.618174937777778,0.69567512,0.0601070211111111,0.279591448888889,0.55615181,0.233385446666667,0.549659195555556
"atf-6",0.275323894444444,0.776631568888889,1.07234134444444,0.790438101111111,0.97486788,0.585364237777778,0.371833978888889,0.593259468888889,0.987815914444444,0.757935095555555,0.739743418888889,0.55974209,0.943137304444444,1.01709298666667,0.628474102222222,0.37099673,1.08867442777778,0.865363224444444,0.65180015,0.465969906666667,0.412596373333333,0.586786956666667,0.25883889,0.854345815555556,0.910165222222222,1.76721386444444,1.09924480777778,0.720746862222222,0.299839407777778,0.359006302222222,0.818269008888889,0.845738158888889,0.846143843333333,0.787576633333333,1.43109334333333,0.784652952222222,0.743761502222222,0.716116788888889,0.85430561,0.66995336,0.76665808,1.00466703333333,0.818263593333333,1.06476981555556,0.81079373,0.534065815555556,1.30762074333333,1.18245403111111,1.58372715333333,1.41860099333333,1.33121365111111,1.86909615666667,1.51440022666667,0.947918108888889,0.7165845,0.877741694444444,0.844957494444444,0.929079442222222,1.16200299222222,1.30559607555556,1.29272894111111
"atf-7",0.346189773333333,0.500026785555556,0.470902255555556,0.44625343,0.580202232222222,1.20679871,0.286561952222222,0.377698043333333,0.55953158,0.84491871,1.57282174444444,1.77137810333333,0.551643694444444,0.860157165555556,1.48058165333333,0.445085335555556,0.732813302222222,1.42741728888889,1.60964382666667,1.36803754444444,0.867626041111111,0.996462004444444,0.888923841111111,0.702033471111111,0.501251541111111,0.567352463333333,0.673006553333333,1.55823137,1.09280818555556,1.55446653333333,1.20319513666667,1.20914102777778,1.16274768111111,1.12327200444444,1.19123264777778,0.974292803333333,0.985342674444444,0.727714168888889,0.936102698888889,0.853444066666667,0.757824801111111,0.674254845555556,0.814236934444444,0.816517397777778,0.982577902222222,0.726758864444444,0.779658931111111,0.745054955555556,0.885710242222222,0.669985997777778,1.21984223,1.38785007555556,1.23974122666667,1.70389635111111,1.63429664666667,1.54717397,1.09294922555556,0.875289752222222,0.760301297777778,0.80205945,0.646936871111111
"athp-1",0.58368226,0.709886018888889,0.166815478888889,1.05528833222222,0.390625901111111,0.876787061111111,0.717794606666667,0.472101955555556,0.0588206222222222,0.0763681311111111,0.524899628888889,1.22426485888889,1.16387668666667,0.930465428888889,0.4747195,0.391952964444444,0.842838236666667,0.550742112222222,0.521734047777778,0.94394525,0.591159303333333,1.33604993666667,1.00364886888889,1.44736549888889,0.592941411111111,0.51745338,0.215175917777778,1.26158754444444,0.950525056666667,1.25999401666667,1.78910380888889,1.7600258,1.77836103222222,1.78931691666667,1.54041455888889,1.43514545555556,1.42113873777778,1.35551231888889,1.55307801,1.04705809888889,1.02248740333333,0.404243932222222,0.65788976,0.626234454444444,0.832475813333333,0.710441708888889,0.372361238888889,0.453626446666667,0.531122324444444,0.42007242,0.388383885555556,0.427780125555556,0.358699741111111,0.53852264,0.393918591111111,0.468997362222222,1.42061249777778,1.29764573555556,0.727816,0.201908257777778,0.465398332222222
"bra-2",0.913313175555556,1.94669055555556,2.24536504,2.18128482888889,1.90912985,1.16382465666667,1.94985467222222,2.27573136777778,1.89499615777778,0.819749978888889,2.04738664222222,2.18894900444444,2.00003733333333,3.25460122333333,1.62421842111111,2.04807979222222,2.86072796666667,1.57893744,1.92946111777778,1.24611483,0.582405384444444,1.75496829666667,0.826931711111111,1.66188341666667,1.53874297111111,1.54531272222222,1.03104023333333,1.91870917111111,1.80271190555556,2.07450703111111,2.62548142333333,2.28077391555556,2.22861539888889,2.54340420333333,2.40512622111111,2.30528655777778,2.69378020555556,3.01868492888889,2.67056695111111,2.53635603777778,2.65947174,3.00377723777778,2.90952154888889,2.83742219222222,2.86741183444444,2.72577136444444,2.51645515111111,2.94593986777778,2.37030047888889,2.65005281888889,2.31789634444444,2.31114451555556,2.23840743,2.25824746222222,1.95905607,1.76248713777778,1.93634827444444,2.58285818333333,2.91067141222222,2.58319785,2.15857519666667
"brc-1",0.208751976666667,0.339013041111111,0.3094021,0.385012345555556,0.208833551111111,0.122032802222222,0.272026255555556,0.233905238888889,0.447316155555556,0.0791801633333333,0.584175223333333,0.455484733333333,0.349317085555556,0.417444644444444,0.433773768888889,0.144937026666667,0.355929918888889,0.465326547777778,0.298475975555556,0.352966465555556,0.357834201111111,0.473622602222222,0.246452895555556,0.498339701111111,0.160276806666667,0.292652872222222,0.438775298888889,0.671420257777778,0.531937562222222,0.626556813333333,0.686586808888889,0.691835654444444,0.622892421111111,0.684949135555556,0.815294946666667,0.47529245,0.545734681111111,0.602870413333333,0.64464283,0.665854634444444,0.686954811111111,0.512473234444444,0.444823324444444,0.448831405555556,0.572839986666667,0.402316181111111,0.55793954,0.582405154444444,0.826248317777778,0.927176581111111,1.02944044888889,1.10631023777778,0.966341356666667,0.568824103333333,0.827049643333333,0.744125141111111,0.726483555555556,0.629891412222222,0.335121911111111,0.403301943333333,0.848249134444444
"cbp-1",2.41617983666667,3.20795154555556,3.70482759888889,2.71861435444444,4.28650728777778,1.14208301888889,1.60518182222222,1.81120266444444,3.39801304777778,1.83386549555556,2.73349878,1.81949594444444,2.03056809555556,2.31520458666667,3.59072914333333,2.59424645444444,2.49340105888889,3.67341984555556,3.62738048777778,2.57934900777778,2.96546956,2.31453879888889,2.08179506111111,2.76281731777778,3.99999711555556,4.89718782111111,5.22404203777778,1.70120705,1.19882188222222,2.01201279888889,1.50825559,1.47840221666667,1.73613698111111,1.46305039666667,2.33766404111111,2.27829339333333,1.55835004888889,1.85627478444444,1.37499382444444,2.44247181888889,2.30570228666667,2.42009273666667,2.46804649333333,2.51414096555556,2.62879521555556,2.27072404333333,2.70665732444444,3.43251887222222,2.38800754666667,2.68219534444444,3.62160301222222,3.41852077333333,3.36899364777778,2.73241471888889,2.44972461666667,2.03320342,2.67945471666667,1.41957491444444,2.46082524555556,2.82132130777778,2.93805527333333
"ccr-4",3.32072440333333,3.41762787888889,1.88440034777778,3.01061932888889,3.15327819555556,1.83311662111111,2.75692946333333,2.96493456555556,2.51331272888889,0.977500817777778,1.53488276222222,1.84334222111111,3.00004458888889,2.79585265222222,2.00239582333333,2.51665322666667,2.69603682555556,2.03702176777778,1.79678500222222,1.95416940222222,2.19079216666667,2.40276851333333,2.38312532111111,2.60518559111111,2.62832451333333,1.81657108333333,1.39102003222222,1.62294147444444,1.07158604888889,1.67710034,1.84888281222222,2.05300165333333,2.00603649666667,2.12241406,2.18032411777778,1.97632996888889,2.05427308666667,2.14987185666667,1.96061482333333,2.76519188111111,2.46204328777778,2.46190341888889,2.39435640888889,2.67670068,2.33982032888889,2.55112044777778,2.61487753,2.62876579555556,2.12779418666667,2.12124402222222,2.13219762777778,2.19463969444444,1.92752009,2.27943163,2.20649047555556,2.23928161333333,2.13058400555556,2.28574311666667,2.70555164666667,2.62032316777778,1.91587615555556
